Pipe ID,MATERIAL,DESCRIPTION,YEAR_INSTALLED,WORK_ORDER_NUMBER,ReportDate,StartDateT,CompletedD,Work Order Year,Request Type,FAILURE,Pipe AGE
P35881,M.J.,Distribution,1952,1143689,10/25/2014,11/16/2014,11/16/2014,2014,Water Request,1,67
P88079,TYT,Distribution,1965,1311148,8/18/2015,8/18/2015,8/18/2015,2015,Water Request,1,54
P53764,M.J.,Distribution,1958,1323748,9/11/2015,9/12/2015,9/12/2015,2015,Water Pressure Complaint,1,61
P400741,M.J.,Distribution,1958,1323748,9/11/2015,9/12/2015,9/12/2015,2015,Water Pressure Complaint,1,61
P20210,DIP,Transmission,2006,1628288,1/22/2017,2/28/2017,2/28/2017,2017,Turn off burst pipe,1,13
P20337,DIP,Transmission,2006,1628288,1/22/2017,2/28/2017,2/28/2017,2017,Turn off burst pipe,1,13
P85956,T.D.,Distribution,1967,1141441,10/20/2014,10/20/2014,10/20/2014,2014,Turn off burst pipe,1,52
P85583,TYT,Distribution,1967,1141441,10/20/2014,10/20/2014,10/20/2014,2014,Turn off burst pipe,1,52
P39042,DEL,Distribution,1940,1398592,2/24/2016,2/24/2016,2/24/2016,2016,No Water,1,79
P81040,DEL,Distribution,1966,2055103,11/20/2017,11/26/2017,11/26/2017,2017,No Water,1,53
P24439,DIP,Distribution,1994,1327589,9/23/2015,,,2015,No Water,1,25
P34148,L.J.,Distribution,1897,1564608,11/6/2016,11/7/2016,11/7/2016,2016,No Water,1,122
P76933,M.J.,Distribution,1956,1510949,8/20/2016,8/22/2016,8/22/2016,2016,No Water,1,63
P15978,M.J.,Distribution,1953,1342563,10/21/2015,,,2015,No Water,1,66
P16096,M.J.,Distribution,1953,1342563,10/21/2015,,,2015,No Water,1,66
P104687,T.D.,Distribution,1989,1526888,9/17/2016,9/17/2016,9/17/2016,2016,No Water,1,30
P8643,T.D.,Distribution,1967,1173127,1/12/2015,1/12/2015,1/12/2015,2015,No Water,1,52
P95131,TYT,Distribution,1967,1449588,5/27/2016,5/28/2016,5/28/2016,2016,No Water,1,52
P2457,DIP,Transmission,1998,1525222,9/14/2016,,,2016,Meter Install,1,21
