BurstChance,MOID,DIAMETER_2,Length,ROUGHNESS,AGE,LENGTH,FLOW,VELOCITY,HEADLOSS,...,Material_AC,Material_CAS,Material_COP,Material_DIP,Material_GP,Material_PVC,Material_RCP,Material_SP,Material_UNK,Material_W.I.
1,P52661,2,194.18429,30,78,194.18429,1.1791,0.1204,0.1732,...,0,0,0,0,0,0,0,0,0,1
1,P148456,6,9.058445,121,53,9.058445,0,0,0,...,0,1,0,0,0,0,0,0,0,0
1,P35890,2,496.622452,40,42,496.622452,0.6176,0.0631,0.0785,...,0,0,0,0,0,0,0,0,0,1
1,P50595,2,424.786041,30,58,424.786041,0.7623,0.0779,0.1688,...,0,0,0,0,0,0,0,0,0,1
1,P174490,6,7.081598,121,55,7.081598,0,0,0,...,0,1,0,0,0,0,0,0,0,0
1,P45877,2,328.26465,34,57,328.26465,0.7676,0.0784,0.1049,...,0,0,0,0,0,0,0,0,0,1
0.996667,P34699,2,289.518685,40,60,289.518685,0.8223,0.084,0.0778,...,0,0,0,0,0,0,0,0,0,1
0.996667,P186082,6,8.124062,136,90,8.124062,0,0,0,...,0,0,0,0,0,0,0,0,1,0
0.996667,P192313,6,7.69414,121,55,7.69414,0,0,0,...,0,1,0,0,0,0,0,0,0,0
0.996667,P163681,6,11.926448,121,76,11.926448,0,0,0,...,0,0,0,0,0,0,0,0,1,0
0.993333,P147032,6,23.014169,121,73,23.014169,0,0,0,...,0,1,0,0,0,0,0,0,0,0
0.993333,P178195,6,12.331677,136,82,12.331677,0,0,0,...,0,0,0,0,0,0,0,0,1,0
0.993333,P160905,6,27.520303,123,92,27.520303,0,0,0,...,0,0,0,0,0,0,0,0,1,0
0.993333,P163310,8,8.542385,118,57,8.542385,0,0,0,...,0,1,0,0,0,0,0,0,0,0
0.993333,P50708,2,523.914797,30,80,523.914797,0.7194,0.0735,0.187,...,0,0,0,0,0,0,0,0,0,1
0.993333,P81180,2,205.42294,40,44,205.42294,0.6006,0.0613,0.0308,...,0,0,0,0,0,0,0,0,0,1
0.993333,P16633,2,515.300669,34,92,515.300669,0.6222,0.0635,0.1116,...,0,0,0,0,0,0,0,0,0,1
0.993333,P168947,6,11.416762,121,88,11.416762,0,0,0,...,0,1,0,0,0,0,0,0,0,0
0.993333,P143881,6,7.764185,121,49,7.764185,0,0,0,...,0,1,0,0,0,0,0,0,0,0
0.99,P46262,2,287.631236,40,53,287.631236,0.7511,0.0767,0.0653,...,0,0,,,,,,,,
